objID,ra,dec,type,u_mag,g_mag,r_mag,i_mag,z_mag,specObjID,clean
1237645941296530117,60.887194552772,-1.09274781953447,3,24.17577,25.51551,22.22521,22.46468,21.31886,0,1
1237645941296530119,60.8889357190711,-1.10945235226738,3,22.9378,23.26318,22.24308,21.45783,20.49664,0,1
1237645941296530120,60.8892153147583,-1.19050909748469,3,23.104,23.10754,22.03418,21.87761,21.92694,0,1
1237645941296530123,60.8906821642099,-1.16258032294977,3,24.16265,24.25402,22.42056,21.88204,21.6438,0,1
1237645941296530128,60.8951564204,-1.2450061572208,3,23.15724,23.00317,21.61499,21.08398,21.04587,0,1
1237645941296530130,60.8971018688626,-1.08269249573002,3,24.83795,22.74493,21.6897,21.36501,21.59599,0,1
1237645941296530132,60.8981660937586,-1.15332586677744,3,23.18227,23.08719,22.38811,22.00466,21.29574,0,1
1237645941296530133,60.8983170713155,-1.19156032256079,3,25.01093,24.16641,22.24798,21.09657,20.46343,0,1
1237645879551000799,348.830184310148,1.27102438188059,3,21.88366,21.76226,21.16113,20.94748,20.27216,0,1
1237645879551000976,348.798501260408,1.26623739361637,3,22.82722,22.29435,21.82372,21.64266,21.27059,0,1
1237645879551066262,348.90253017155,1.27188625068302,3,19.41061,18.23754,17.58132,17.20153,16.90159,430194949951088640,1
1237645879551066461,348.884174032421,1.27310761489463,3,22.40823,21.48794,19.02575,18.08839,17.47423,0,1
1237645879551066463,348.883822847911,1.27334782854013,3,24.33292,22.00856,21.6062,20.90329,21.37088,0,1
1237645879551066701,348.876347929885,1.26695757723774,3,21.62284,21.44673,20.23699,20.20909,22.43352,0,1
1237645879551066718,348.889957157874,1.27328543685578,3,28.40035,23.35431,20.40857,20.28666,20.35109,0,1
1237645879562862749,15.9074591417591,1.27291783110712,3,22.18731,20.03594,18.81129,18.32505,17.94158,0,1
1237645879562862826,15.9391399488211,1.26994496814846,3,21.71571,20.61415,20.3142,20.05511,19.92423,0,1
1237645879562863112,15.9006889831274,1.2728208177637,3,22.81256,21.73727,21.23311,21.27667,20.98376,0,1
1237645879562863122,15.9052720162354,1.27438753579854,3,22.34854,22.48393,21.82735,21.40353,21.90953,0,1
1237645879562863131,15.9132616094254,1.27350995914261,3,22.60174,20.30513,19.05481,18.54046,18.26221,0,1
1237645879573873304,40.9541109712145,1.27223942313943,3,24.16378,23.45795,21.77794,21.39653,24.0104,0,1
1237645879573873373,41.0196126805986,1.27127865026385,3,22.66974,22.00222,20.39819,19.57147,19.20231,4797482960004247552,1
1237645879577870816,50.192911908826,1.27080312943722,3,25.63207,22.33603,20.60914,20.01466,19.74089,0,1
1237645879577936138,50.2348350060606,1.27194527632097,3,19.80807,18.33917,17.63962,17.24621,17,465154746873833472,1
1237645941296464186,60.6484709887767,-1.23486122202473,3,20.71855,19.19863,18.08657,17.44876,17.06414,0,1
1237645941296464189,60.6674021412589,-1.20799192116951,3,19.93621,18.22143,17.08742,16.50804,16.08049,0,1
1237645941296464208,60.7587026416445,-1.05300196804383,3,20.8697,20.14074,19.21733,18.81245,18.38465,0,1
1237645941296464209,60.7568135872589,-1.05254827261403,3,25.17607,21.42898,20.0925,19.43975,19.04427,0,1
1237645941296464210,60.7592283257714,-1.05151592383765,3,24.90452,24.40394,22.24788,20.77798,20.49641,0,1
1237645941296464243,60.7445661580555,-1.11307732902213,3,22.59675,21.75544,20.63113,20.17834,19.6392,0,1
1237645941296464252,60.6515636663977,-1.20854125340264,3,22.38377,21.1323,20.11124,19.5225,19.19977,0,1
1237645941296464255,60.6743037035255,-1.10826859495277,3,22.1372,21.51657,20.62446,20.28478,19.99242,0,1
1237645941296464256,60.6747072498115,-1.05997042077054,3,21.00205,20.35458,19.23855,18.6962,18.31842,0,1
1237645941296464262,60.6800556247987,-1.18955220584876,3,23.8828,24.20782,22.39328,22.65886,21.8469,0,1
1237645941296464276,60.7318510037403,-1.19318140868528,3,23.61969,20.94318,19.5696,18.91149,18.45996,0,1
1237645941296464292,60.7907956147631,-1.09036709294806,3,24.6089,23.44907,21.96501,20.96069,20.4909,0,1
1237645941296464308,60.6505775923961,-1.06040151547971,3,22.13305,21.22402,20.59749,20.21835,20.06356,0,1
1237645941296464310,60.6509297991846,-1.05599958563192,3,22.24413,21.78388,20.64769,20.33444,19.91946,0,1
1237645941296464311,60.6523769630803,-1.06214211366837,3,23.10213,22.27639,21.3485,20.80076,20.26644,0,1
1237645941296464312,60.6539144451363,-1.20834745453765,3,23.04992,21.83443,21.36539,21.07777,20.67092,0,1
1237645941296464313,60.6540690612285,-1.10581537702573,3,22.43432,21.28784,20.39605,19.84294,19.49047,0,1
1237645941296464314,60.654203309849,-1.07813006043039,3,21.85716,20.55701,19.74124,19.51541,19.13241,0,1
1237645941296464315,60.6556261295055,-1.21640113415571,3,25.29631,21.94695,21.49997,21.10262,21.07232,0,1
1237645941296464316,60.6562054953828,-1.18460580956891,3,24.72314,22.18999,20.89758,20.21038,19.78698,0,1
1237645941296464318,60.6595561077663,-1.17744386526137,3,22.89015,21.70481,20.89491,20.3667,20.03254,0,1
1237645941296464322,60.6609140125879,-1.19670338714089,3,23.97009,23.5004,22.09803,21.50412,20.85063,0,1
1237645941296464324,60.6631650054943,-1.05973223473794,3,22.7348,21.75771,20.65736,20.2359,19.812,0,1
1237645941296464327,60.6637391296765,-1.21722937865927,3,21.61992,20.12717,19.00018,18.53584,18.10202,0,1
1237645941296464328,60.6650537250054,-1.10496622373793,3,22.53805,20.84544,19.90622,19.36299,19.04915,0,1
1237645941296464333,60.6684574970206,-1.19154085124518,3,24.18422,21.75861,20.73287,20.14332,19.58174,0,1
1237645941296464348,60.6828582700394,-1.06424539413177,3,24.63145,22.73836,21.88518,21.87601,21.01069,0,1
1237645941296464350,60.6837326542187,-1.19485115479096,3,23.08682,22.3171,21.05955,20.79745,20.90055,0,1
1237645941296464356,60.6883144486201,-1.14683835113511,3,25.2874,22.36938,21.64957,21.75089,22.34324,0,1
1237645941296464362,60.6910514618216,-1.17263911467107,3,22.49032,20.52877,19.70486,19.2733,18.99542,0,1
1237645941296464364,60.6933068114412,-1.19663071048783,3,22.97863,21.952,20.50851,19.95116,19.70385,0,1
1237645941296464376,60.7026353836469,-1.15438314884138,3,25.70744,22.15783,20.56698,19.83725,19.44602,0,1
1237645941296464377,60.7093630925483,-1.05661948438767,3,22.7014,22.49882,21.65063,21.34613,21.17914,0,1
1237645941296464379,60.7114672057414,-1.07560690725244,3,22.56569,21.71907,20.91583,20.63989,20.2242,0,1
1237645941296464385,60.7184472139523,-1.06236036289966,3,23.00813,22.29141,21.0649,20.74683,20.28943,0,1
1237645941296464387,60.7229362575519,-1.19735538742673,3,23.92476,21.21547,19.91695,19.2982,18.82491,0,1
1237645941296464389,60.7266277723957,-1.10302242827696,3,24.61294,22.50711,21.35805,20.86063,20.38497,0,1
1237645941296464390,60.7277184213575,-1.23103924802878,3,22.8024,22.00655,21.54055,21.28714,20.64635,0,1
1237645941296464391,60.7300896539138,-1.15347003638279,3,22.80675,21.99536,20.84751,20.47516,20.0696,0,1
1237645941296464393,60.7312887234997,-1.13794419459787,3,23.27629,21.63273,20.98106,20.46476,20.54448,0,1
1237645941296464395,60.7330325552661,-1.23550669698815,3,22.69932,21.99952,21.08213,20.91887,21.02146,0,1
1237645941296464396,60.7357985776078,-1.18926932193422,3,22.58948,21.28249,20.15394,19.6345,19.252,0,1
1237645941296464400,60.7434103397427,-1.24288528025268,3,22.22324,21.28654,20.20851,19.94188,19.62096,0,1
1237645941296464404,60.7462175485301,-1.17865629374489,3,22.81668,22.08128,21.48628,21.44933,20.83192,0,1
1237645941296464412,60.7527253238636,-1.07545001917694,3,23.61168,21.90601,20.7614,20.37907,20.18268,0,1
1237645941296464415,60.7525544393043,-1.24282347453867,3,24.66154,22.61658,21.95154,21.73104,22.11757,0,1
1237645941296464419,60.7540435496335,-1.0875742270862,3,23.17833,22.56367,21.57212,21.16569,20.84892,0,1
1237645941296464423,60.7588487236734,-1.05887741367765,3,23.91741,22.16563,21.56214,20.85074,20.54326,0,1
1237645941296464425,60.759779892334,-1.18103426656574,3,24.41953,22.47909,21.9631,21.91872,21.0024,0,1
1237645941296464427,60.7635377631598,-1.11052599254659,3,22.82635,22.24573,21.08311,20.88128,20.43295,0,1
1237645941296464429,60.7646686148216,-1.10302457947333,3,23.5323,22.62798,21.31923,20.69916,20.47729,0,1
1237645941296464430,60.7657995021038,-1.1012910632878,3,23.37147,21.52866,20.54495,20.3105,20.06182,0,1
1237645941296464431,60.7647282696893,-1.09822160776568,3,23.43066,22.71947,20.9961,20.3277,19.92238,0,1
1237645941296464432,60.7663137848018,-1.11160571777396,3,22.74884,21.2544,20.56921,20.16874,19.71697,0,1
1237645941296464433,60.7664441196999,-1.0939862141523,3,23.62022,21.70489,20.60787,20.41901,19.72375,0,1
1237645941296464438,60.7681939064408,-1.09581874071623,3,22.36379,21.29008,20.1118,19.44103,19.14317,0,1
1237645941296464440,60.7687955302799,-1.1304210725669,3,21.63177,20.64531,19.54161,19.06712,18.86804,0,1
1237645941296464442,60.7720219654713,-1.05975382773353,3,22.89809,22.13826,21.52568,20.95221,20.8818,0,1
1237645941296464444,60.7730105969341,-1.09309975064654,3,23.03267,22.00117,21.52451,21.39319,21.4346,0,1
1237645941296464447,60.7738782452349,-1.09827945330116,3,21.7856,20.96043,19.87269,19.55177,19.10398,0,1
1237645941296464448,60.7741225790155,-1.06442203326728,3,21.8234,21.88288,20.71607,20.298,19.9549,0,1
1237645941296464449,60.7751337223609,-1.19220239633211,3,23.46695,22.25156,21.39688,21.81717,21.26576,0,1
1237645941296464451,60.7795772442431,-1.07804040822015,3,25.4224,22.9314,21.03754,20.29262,20.07199,0,1
1237645941296464456,60.7809861292238,-1.15137935732262,3,24.4464,22.49451,21.47927,21.20598,20.46114,0,1
1237645941296464457,60.7827408168699,-1.17254718803409,3,23.34373,21.83046,20.04907,19.34644,18.82743,0,1
1237645941296464459,60.7847086116377,-1.06030730603079,3,23.06699,22.254,21.46302,21.39591,20.89679,0,1
1237645941296464464,60.7855049250085,-1.05525087571811,3,24.33816,22.23743,20.59716,19.89259,19.34712,0,1
1237645941296464465,60.786375506461,-1.15001716873813,3,23.3167,22.77087,22.38594,21.616,21.86517,0,1
1237645941296464466,60.7865172136803,-1.07820243885982,3,22.35541,21.7591,20.48251,20.01657,19.54929,0,1
1237645941296464467,60.7868151709547,-1.13450646000373,3,22.77728,21.52853,20.71562,20.37394,19.82619,0,1
