objID,ra,dec,type,u_mag,g_mag,r_mag,i_mag,z_mag,specObjID,clean
1237645941297250508,62.5528287665969,-1.07009437319737,6,19.388,17.96188,17.38385,17.09341,16.94311,0,1
1237645941297250512,62.5603747169983,-1.11528381350868,6,20.43308,19.31732,18.79117,18.55792,18.38421,0,1
1237645941297250514,62.5619609705726,-1.15182127101153,6,19.72674,18.41961,17.89079,17.65796,17.54417,0,1
1237645941297250516,62.5704889262173,-1.15831072548674,6,20.68745,19.12768,18.47801,18.18422,18.01976,0,1
1237645941297250520,62.5749776468177,-1.13605727233496,6,20.59223,18.76177,18.02791,17.7368,17.60777,0,1
1237645941297250525,62.5775087552861,-1.24551716936549,6,24.3045,24.22312,21.79427,21.12314,20.47557,0,1
1237645941297250529,62.5817779001836,-1.10479671942957,6,20.65634,19.52695,19.1386,18.95817,18.88598,0,1
1237645941297250531,62.583184995172,-1.17495328455806,6,21.23385,18.51056,17.30916,16.85685,16.57039,0,1
1237645941297250535,62.5831821786277,-1.15735370091621,6,24.38856,23.9982,22.4798,22.06034,21.64482,0,1
1237645941297250537,62.586551628276,-1.13781689014691,6,20.59431,18.87045,18.15747,17.85649,17.74649,0,1
1237645941297250545,62.5871543116397,-1.06914834945279,6,19.54181,17.70735,16.96705,16.69696,16.55036,0,1
1237645941297250549,62.5887455807652,-1.20818905648389,6,20.1522,17.79316,16.76714,16.3811,16.15667,0,1
1237645941297250552,62.5911611958055,-1.10595921741544,6,19.95469,17.37799,16.10366,15.60697,15.31511,0,1
1237645941297250554,62.5911148995253,-1.18385302821431,6,21.76068,19.02681,17.47564,16.50093,15.96372,0,1
1237645941297250556,62.4467489850302,-1.09998573710368,6,22.97886,20.16742,18.76118,18.1391,17.74013,0,1
1237645941297250558,62.4566882878637,-1.10336059703325,6,23.65273,21.12609,19.67013,18.07995,17.20273,0,1
1237645941297250561,62.4568138750464,-1.09566172625472,6,23.84623,20.578,19.07122,17.94581,17.34458,0,1
1237645941297250562,62.458342820451,-1.09771256556698,6,23.4014,20.30208,18.96186,18.39788,18.05408,0,1
